global_max_products,global_max_difference_products,global_max_all_price,global_max_difference_all_price,global_max_shops,global_max_difference_shops,global_max_price,global_max_difference_price,global_min_products,global_min_difference_products,global_min_all_price,global_min_difference_all_price,global_min_shops,global_min_difference_shops,global_min_price,global_min_difference_price,difference_left_products,difference_left_difference_products,difference_left_all_price,difference_left_difference_all_price,difference_left_shops,difference_left_difference_shops,difference_left_price,difference_left_difference_price,difference_right_products,difference_right_difference_products,difference_right_all_price,difference_right_difference_all_price,difference_right_shops,difference_right_difference_shops,difference_right_price,difference_right_difference_price,local_min_products,local_min_difference_products,local_min_all_price,local_min_difference_all_price,local_min_shops,local_min_difference_shops,local_min_price,local_min_difference_price,local_max_products,local_max_difference_products,local_max_all_price,local_max_difference_all_price,local_max_shops,local_max_difference_shops,local_max_price,local_max_difference_price,month
8,3,9,3,5,2,0,4,4,4,4,4,5,4,4,4,2.1608832807570977,-2.4311926605504586,2.14959121226114,-3.161771628923351,2.342857142857143,-2.2142857142857144,2.93031385321948,-2.103807378944035,7,3,5,3,3,5,1,4,685.0,-0.9137931034482759,287.68894777331394,-0.9679861251159595,82.0,-0.8378378378378378,1.0,-0.25957107900454207,3,5,3,5,4,5,4,4,17
8,3,8,3,4,2,8,5,12,13,13,13,8,13,15,17,10.031088082901555,-3.0844079718640094,6.587940716909306,-2.5731438658359105,2.111111111111111,-10.0,1.0560157757204787,-1.4757289869698103,0,3,0,5,0,5,5,2,5.101449275362318,-0.9180041870202372,3.727259738345252,-0.9598376398299807,1.2025316455696202,-1.4285714285714286,1.526092161081022,-2.105493995323428,12,14,13,14,9,15,16,16,49
4,4,3,4,6,5,4,2,19,20,19,19,9,11,20,19,10.204828090709583,-1.6146863844977053,7.472675976522972,-1.5741534950375438,1.484375,4.5,1.1506892434527811,-0.981484929836934,1,7,1,7,0,3,6,3,3.7254640138870343,-0.9804310131285608,3.1277363304444905,-0.9024677645220284,1.0919540229885059,-2.25,1.5778308059765414,-0.9532561898323454,19,19,19,18,10,8,20,20,49
2,2,2,3,3,4,9,1,14,16,12,16,7,11,12,16,8.876777251184834,-1.3858543417366946,6.02649800409197,-3.881996168743626,1.5245901639344261,10.0,1.0,-1.203997608754604,1,5,1,4,0,5,17,1,1.2205134888570313,-1.296854521625164,1.2151647625896256,-1.186075414244348,1.0813953488372092,-1.6666666666666667,1.8425754106883778,-19.571314773524236,15,16,13,16,8,12,13,17,49
2,4,2,4,2,5,5,6,9,10,9,11,6,9,11,14,5.053571428571429,-2.5833333333333335,4.658461151413935,-2.5195821770231843,2.361111111111111,-4.25,1.0959185423758113,-16.153820637743195,0,6,2,5,0,7,5,3,4.964912280701754,-0.549889135254989,5.012805057457534,-0.5938753630729924,2.1794871794871793,-0.3953488372093023,1.2287845223597733,-0.0916364295873162,8,10,9,11,6,10,12,13,35
0,0,0,0,0,3,7,4,2,5,2,5,1,2,7,6,1830.0,-6.846625766871166,1755.3615928066795,-4.25963195135851,90.0,-26.0,1.2652536929993579,-0.945654200766601,0,2,0,3,0,2,1,2,1.0,1.0,1.0,1.0,1.0,-13.0,1.3190525916011795,-4.5148528398670695,2,7,2,6,2,3,6,6,20
1,1,1,1,0,3,5,6,6,7,5,8,3,5,7,7,2378.0,-2.4740177439797213,1857.5963693764797,-2.731250367241042,90.0,-19.0,1.0970797158642462,-1.0970797158642462,0,5,0,4,0,4,1,1,5.380090497737557,-1.0193211488250653,4.054291504224529,-1.0228914449844482,1.0,-2.111111111111111,1.619820071784832,-2.6163228429453396,6,8,5,9,3,6,6,7,23
6,6,6,6,5,5,10,4,10,13,10,13,8,11,12,12,9.834,-1.336189310485516,7.851644477585664,-1.2429083366564633,1.507936507936508,6.0,1.2876742812954647,-1.5110219314617266,2,3,2,3,1,7,5,6,16.444816053511705,-0.9365170145839291,13.82660824963379,-0.9405573005194632,1.7272727272727273,-0.21818181818181817,1.4480854611770824,-0.23715580122796467,10,13,10,13,6,11,11,12,41
4,5,4,4,4,7,2,6,4,5,3,5,4,5,4,5,82.6,44.6,64.31324245243587,49.243235909760486,12.25,20.0,1.412100087029215,-0.7625970580591424,0,1,0,2,0,3,3,2,4.009708737864078,-0.7193548387096774,3.3675689376652156,-0.7576851654976231,1.3243243243243243,-0.5405405405405406,1.0875468863763504,-0.1487216251274017,3,4,2,5,2,4,4,5,17
0,0,0,0,2,3,9,8,12,15,11,15,6,8,15,19,83.01744186046511,-6.737847222222222,71.02344223114937,-4.9777755699727475,8.454545454545455,-0.8,1.0,-1.4130982221887205,4,2,4,1,3,4,8,3,1.0,1.0,1.0,1.0,1.1481481481481481,-4.0,1.3511729301574658,-0.96491172400188,13,15,12,15,9,10,15,18,49
